2009/06/16 02:00:00  22 2
   1.0000     9.5905
   5.0000     9.5506
   8.0000     9.5284
  10.0000     9.5136
  14.0000     9.4085
  15.0000     9.3822
  17.0000     9.3297
  20.0000     9.2508
  25.0000     8.9256
  30.0000     8.4882
  32.0000     8.3200
  35.0000     8.0677
  36.0000     7.9836
  37.0000     7.8862
  45.0000     7.1072
  60.0000     6.2185
  80.0000     5.7918
 100.0000     5.3253
 120.0000     5.0217
 150.0000     5.0580
 175.0000     4.8463
 200.0000     4.5372
2009/07/16 02:00:00  22 2
   1.0000    11.7134
   5.0000    11.5068
   8.0000    11.3652
  10.0000    11.2707
  14.0000    10.9075
  15.0000    10.8166
  17.0000    10.6350
  20.0000    10.3626
  25.0000     9.8195
  30.0000     9.4074
  32.0000     9.3028
  35.0000     9.1459
  36.0000     9.0936
  37.0000     9.0059
  45.0000     8.3036
  60.0000     6.5039
  80.0000     5.8574
 100.0000     5.4903
 120.0000     5.2609
 150.0000     5.2571
 175.0000     5.0408
 200.0000     4.6865
2009/08/16 02:00:00  22 2
   1.0000    13.3766
   5.0000    13.3654
   8.0000    13.3451
  10.0000    13.3315
  14.0000    13.1392
  15.0000    13.0911
  17.0000    12.9949
  20.0000    12.8506
  25.0000    11.9014
  30.0000    10.8455
  32.0000    10.4685
  35.0000     9.9030
  36.0000     9.7144
  37.0000     9.5532
  45.0000     8.2630
  60.0000     6.4871
  80.0000     5.8159
 100.0000     5.4181
 120.0000     5.1980
 150.0000     5.2870
 175.0000     5.2779
 200.0000     4.9728
2009/09/16 02:00:00  22 2
   1.0000    11.6899
   5.0000    11.7338
   8.0000    11.6884
  10.0000    11.6581
  14.0000    11.6520
  15.0000    11.6505
  17.0000    11.6474
  20.0000    11.6429
  25.0000    11.6342
  30.0000    11.5660
  32.0000    11.4168
  35.0000    11.1930
  36.0000    11.1184
  37.0000    10.9083
  45.0000     9.2276
  60.0000     6.2443
  80.0000     5.5448
 100.0000     5.1395
 120.0000     4.9465
 150.0000     5.1382
 175.0000     5.0986
 200.0000     4.7894
2009/10/16 02:00:00  22 2
   1.0000    11.0560
   5.0000    11.0519
   8.0000    11.0489
  10.0000    11.0469
  14.0000    11.0401
  15.0000    11.0384
  17.0000    11.0350
  20.0000    11.0299
  25.0000    11.0222
  30.0000    11.0158
  32.0000    11.0130
  35.0000    11.0087
  36.0000    11.0073
  37.0000    11.0051
  45.0000    10.9872
  60.0000     8.3879
  80.0000     5.8175
 100.0000     5.3733
 120.0000     5.1029
 150.0000     5.1611
 175.0000     5.1333
 200.0000     4.8424
2009/11/16 02:00:00  22 2
   1.0000     8.1786
   5.0000     8.1805
   8.0000     8.1820
  10.0000     8.1830
  14.0000     8.1828
  15.0000     8.1827
  17.0000     8.1826
  20.0000     8.1824
  25.0000     8.1819
  30.0000     8.1824
  32.0000     8.1822
  35.0000     8.1819
  36.0000     8.1818
  37.0000     8.1817
  45.0000     8.1809
  60.0000     8.0578
  80.0000     7.1225
 100.0000     5.3247
 120.0000     5.0324
 150.0000     5.1578
 175.0000     4.9954
 200.0000     4.7185
2009/12/16 02:00:00  22 2
   1.0000     6.6377
   5.0000     6.6385
   8.0000     6.6391
  10.0000     6.6395
  14.0000     6.6391
  15.0000     6.6390
  17.0000     6.6389
  20.0000     6.6386
  25.0000     6.6379
  30.0000     6.6377
  32.0000     6.6375
  35.0000     6.6370
  36.0000     6.6369
  37.0000     6.6369
  45.0000     6.6364
  60.0000     6.6322
  80.0000     6.6234
 100.0000     6.4699
 120.0000     5.1007
 150.0000     5.1878
 175.0000     5.0724
 200.0000     4.7809
2010/01/16 02:00:00  22 2
   1.0000     6.3780
   5.0000     6.3814
   8.0000     6.3839
  10.0000     6.3856
  14.0000     6.3868
  15.0000     6.3871
  17.0000     6.3877
  20.0000     6.3886
  25.0000     6.3892
  30.0000     6.3901
  32.0000     6.3905
  35.0000     6.3912
  36.0000     6.3915
  37.0000     6.3915
  45.0000     6.3914
  60.0000     6.3907
  80.0000     6.3920
 100.0000     6.2900
 120.0000     5.2367
 150.0000     5.1788
 175.0000     5.0621
 200.0000     4.7602
2010/02/15 02:00:00  22 2
   1.0000     6.1271
   5.0000     6.1271
   8.0000     6.1270
  10.0000     6.1270
  14.0000     6.1266
  15.0000     6.1265
  17.0000     6.1262
  20.0000     6.1259
  25.0000     6.1244
  30.0000     6.1229
  32.0000     6.1223
  35.0000     6.1213
  36.0000     6.1210
  37.0000     6.1207
  45.0000     6.1185
  60.0000     6.1083
  80.0000     6.0841
 100.0000     5.9983
 120.0000     5.2276
 150.0000     5.1235
 175.0000     4.9814
 200.0000     4.7062
2010/03/16 02:00:00  22 2
   1.0000     5.7880
   5.0000     5.7861
   8.0000     5.7847
  10.0000     5.7837
  14.0000     5.7830
  15.0000     5.7828
  17.0000     5.7825
  20.0000     5.7820
  25.0000     5.7800
  30.0000     5.7770
  32.0000     5.7764
  35.0000     5.7755
  36.0000     5.7752
  37.0000     5.7747
  45.0000     5.7706
  60.0000     5.7636
  80.0000     5.7462
 100.0000     5.6734
 120.0000     5.4622
 150.0000     4.9964
 175.0000     4.6704
 200.0000     4.4227
2010/04/16 02:00:00  22 2
   1.0000     5.5426
