2010/06/16 12:00:00  14 2
 0.  32.6808319
-10.  32.6815491
-14.  32.6830139
-20.  32.6852112
-25.  32.6855545
-30.  32.6886215
-37.  32.6913338
-45.  32.6998558
-60.  32.7118568
-80.  32.8098297
-100.  33.1091385
-120.  33.5671730
-150.  33.7315178
-200.  33.7825851
2010/07/16 12:00:00  14 2
 0.  32.6686134
-10.  32.6706429
-14.  32.6751732
-20.  32.6819687
-25.  32.6810646
-30.  32.6822281
-37.  32.6852875
-45.  32.6941605
-60.  32.7163277
-80.  32.7852554
-100.  33.0673180
-120.  33.5233841
-150.  33.7303238
-200.  33.7814789
2010/08/16 12:00:00  14 2
 0.  32.6145172
-10.  32.6083870
-14.  32.6113167
-20.  32.6157112
-25.  32.6318398
-30.  32.6573868
-37.  32.6833229
-45.  32.6987724
-60.  32.7393570
-80.  32.8134232
-100.  32.9966125
-120.  33.4475822
-150.  33.7212944
-200.  33.7769012
2010/09/16 12:00:00  14 2
 0.  32.5646324
-10.  32.5626984
-14.  32.5615402
-20.  32.5598030
-25.  32.5566025
-30.  32.5635643
-37.  32.6107330
-45.  32.6735001
-60.  32.7378998
-80.  32.8074684
-100.  33.0139961
-120.  33.4284019
-150.  33.7153702
-200.  33.7805672
2010/10/16 12:00:00  14 2
 0.  32.5671654
-10.  32.5686150
-14.  32.5691063
-20.  32.5698433
-25.  32.5711327
-30.  32.5701332
-37.  32.5724831
-45.  32.5697136
-60.  32.6383896
-80.  32.8153534
-100.  33.0737419
-120.  33.4734535
-150.  33.7137413
-200.  33.7864571
2010/11/16 12:00:00  14 2
 0.  32.6098671
-10.  32.6079979
-14.  32.6082130
-20.  32.6085358
-25.  32.6096306
-30.  32.6090317
-37.  32.6115990
-45.  32.6113052
-60.  32.6114044
-80.  32.7527695
-100.  33.2298660
-120.  33.5558662
-150.  33.7235680
-200.  33.8040962
2010/12/16 12:00:00  14 2
 0.  32.6283188
-10.  32.6253242
-14.  32.6257484
-20.  32.6263847
-25.  32.6279030
-30.  32.6281319
-37.  32.6312523
-45.  32.6320992
-60.  32.6333237
-80.  32.6485481
-100.  33.3022537
-120.  33.6141853
-150.  33.7349014
-200.  33.8064880
2011/01/16 12:00:00  14 2
 0.  32.6337738
-10.  32.6296463
-14.  32.6302277
-20.  32.6310997
-25.  32.6325150
-30.  32.6336746
-37.  32.6367073
-45.  32.6381912
-60.  32.6389618
-80.  32.6620293
-100.  33.3383217
-120.  33.6590919
-150.  33.7495766
-200.  33.8082581
2011/02/15 12:00:00  14 2
 0.  32.6590385
-10.  32.6560326
-14.  32.6565468
-20.  32.6573181
-25.  32.6582832
-30.  32.6595039
-37.  32.6618881
-45.  32.6634636
-60.  32.6632881
-80.  32.6914978
-100.  33.3928947
-120.  33.6934280
-150.  33.7571449
-200.  33.8107491
2011/03/16 12:00:00  14 2
 0.  32.7242928
-10.  32.7220039
-14.  32.7224800
-20.  32.7231941
-25.  32.7237778
-30.  32.7259750
-37.  32.7276764
-45.  32.7289734
-60.  32.7260971
-80.  32.7294540
-100.  33.0033531
-120.  33.6558723
-150.  33.7528648
-200.  33.8040314
2011/04/16 12:00:00  14 2
 0.  32.7446365
-10.  32.7409325
-14.  32.7411201
-20.  32.7414017
-25.  32.7417336
-30.  32.7444000
-37.  32.7459297
-45.  32.7477989
-60.  32.7453957
-80.  32.7489357
-100.  32.9503670
-120.  33.6504631
-150.  33.7504692
-200.  33.8086967
2011/05/16 12:00:00  14 2
 0.  32.7118988
-10.  32.7086792
-14.  32.7095810
-20.  32.7109337
-25.  32.7111320
-30.  32.7141647
-37.  32.7165146
-45.  32.7191315
-60.  32.7213211
-80.  32.7495155
-100.  32.8699646
-120.  33.5786438
-150.  33.7395782
-200.  33.7963562
2011/06/16 12:00:00  14 2
 0.  32.6800995
-10.  32.6788025
-14.  32.6814682
-20.  32.6854668
-25.  32.6853294
-30.  32.6859016
-37.  32.6920013
-45.  32.7074661
-60.  32.7390366
-80.  32.7744331
-100.  32.8601685
-120.  33.4623299
-150.  33.7229042
-200.  33.7905006
2011/07/16 12:00:00  14 2
 0.  32.6367416
-10.  32.6401939
-14.  32.6408775
-20.  32.6419029
-25.  32.6365471
-30.  32.6277084
-37.  32.6518059
-45.  32.7158432
-60.  32.7597694
-80.  32.8030663
-100.  32.8642578
-120.  33.3529320
-150.  33.7182274
-200.  33.7787056
2011/08/16 12:00:00  14 2
 0.  32.5519714
-10.  32.5541916
-14.  32.5606705
-20.  32.5703888
-25.  32.5764465
-30.  32.5890007
-37.  32.6388702
-45.  32.7096405
-60.  32.7530670
-80.  32.7930641
-100.  32.8201981
