2010/06/16 12:00:00  18 2
  -0.0000     7.8807
  -5.0000     8.1650
 -10.0000     7.7987
 -14.0000     7.9034
 -17.0000     7.9819
 -20.0000     7.6490
 -25.0000     7.5863
 -30.0000     7.5133
 -37.0000     7.5225
 -45.0000     7.2227
 -60.0000     6.9563
 -80.0000     5.6650
-100.0000     5.4250
-120.0000     5.2260
-150.0000     4.8407
-175.0000     4.5183
-200.0000     4.3127
-300.0000     3.9770
2010/07/16 12:00:00  18 2
  -0.0000    10.3400
  -5.0000    10.2132
 -10.0000    10.0352
 -14.0000     9.8711
 -17.0000     9.7481
 -20.0000     9.6726
 -25.0000     9.4506
 -30.0000     9.1742
 -37.0000     8.7052
 -45.0000     8.0881
 -60.0000     7.2826
 -80.0000     5.9861
-100.0000     5.3900
-120.0000     5.2226
-150.0000     4.8132
-175.0000     4.4958
-200.0000     4.2848
-300.0000     3.9584
2010/08/16 12:00:00  18 2
  -0.0000    13.8442
  -5.0000    13.7326
 -10.0000    13.5145
 -14.0000    12.9608
 -17.0000    12.5455
 -20.0000    12.0474
 -25.0000    10.8113
 -30.0000     9.8316
 -37.0000     9.0181
 -45.0000     8.3513
 -60.0000     7.3694
 -80.0000     6.3568
-100.0000     5.5023
-120.0000     5.2210
-150.0000     4.7223
-175.0000     4.4252
-200.0000     4.2294
-300.0000     3.9519
2010/09/16 12:00:00  18 2
  -0.0000    13.1937
  -5.0000    13.1903
 -10.0000    13.1833
 -14.0000    13.1719
 -17.0000    13.1633
 -20.0000    13.1173
 -25.0000    12.7173
 -30.0000    11.8537
 -37.0000    10.0577
 -45.0000     8.5983
 -60.0000     7.3093
 -80.0000     6.1760
-100.0000     5.3730
-120.0000     5.0117
-150.0000     4.6767
-175.0000     4.3930
-200.0000     4.2210
-300.0000     3.9753
2010/10/16 12:00:00  18 2
  -0.0000    10.2219
  -5.0000    10.2255
 -10.0000    10.2268
 -14.0000    10.2262
 -17.0000    10.2258
 -20.0000    10.2239
 -25.0000    10.2223
 -30.0000    10.2200
 -37.0000    10.2110
 -45.0000    10.0758
 -60.0000     8.4387
 -80.0000     6.1110
-100.0000     5.2981
-120.0000     5.0155
-150.0000     4.6935
-175.0000     4.4071
-200.0000     4.2281
-300.0000     3.9913
2010/11/16 12:00:00  18 2
  -0.0000     8.1410
  -5.0000     8.1443
 -10.0000     8.1460
 -14.0000     8.1466
 -17.0000     8.1470
 -20.0000     8.1470
 -25.0000     8.1477
 -30.0000     8.1477
 -37.0000     8.1477
 -45.0000     8.1483
 -60.0000     8.1310
 -80.0000     6.7647
-100.0000     5.2053
-120.0000     4.9110
-150.0000     4.5527
-175.0000     4.3177
-200.0000     4.1757
-300.0000     3.9750
2010/12/16 12:00:00  18 2
  -0.0000     6.9339
  -5.0000     6.9377
 -10.0000     6.9406
 -14.0000     6.9408
 -17.0000     6.9410
 -20.0000     6.9413
 -25.0000     6.9429
 -30.0000     6.9435
 -37.0000     6.9455
 -45.0000     6.9477
 -60.0000     6.9503
 -80.0000     6.9258
-100.0000     5.2642
-120.0000     4.8977
-150.0000     4.5042
-175.0000     4.2839
-200.0000     4.1490
-300.0000     3.9774
2011/01/16 12:00:00  18 2
  -0.0000     6.0335
  -5.0000     6.0355
 -10.0000     6.0361
 -14.0000     6.0365
 -17.0000     6.0368
 -20.0000     6.0371
 -25.0000     6.0374
 -30.0000     6.0377
 -37.0000     6.0390
 -45.0000     6.0406
 -60.0000     6.0426
 -80.0000     6.0300
-100.0000     5.2242
-120.0000     4.8397
-150.0000     4.4961
-175.0000     4.2632
-200.0000     4.1232
-300.0000     3.9568
2011/02/15 12:00:00  18 2
  -0.0000     5.7464
  -5.0000     5.7486
 -10.0000     5.7489
 -14.0000     5.7495
 -17.0000     5.7500
 -20.0000     5.7496
 -25.0000     5.7496
 -30.0000     5.7486
 -37.0000     5.7507
 -45.0000     5.7521
 -60.0000     5.7529
 -80.0000     5.7404
-100.0000     5.2021
-120.0000     4.8568
-150.0000     4.5054
-175.0000     4.2811
-200.0000     4.1425
-300.0000     3.9550
2011/03/16 12:00:00  18 2
  -0.0000     5.2952
  -5.0000     5.2952
 -10.0000     5.2939
 -14.0000     5.2922
 -17.0000     5.2910
 -20.0000     5.2900
 -25.0000     5.2881
 -30.0000     5.2858
 -37.0000     5.2842
 -45.0000     5.2816
 -60.0000     5.2784
 -80.0000     5.2735
-100.0000     5.2232
-120.0000     4.8910
-150.0000     4.5306
-175.0000     4.2903
-200.0000     4.1323
-300.0000     3.9668
2011/04/16 12:00:00  18 2
  -0.0000     5.6497
  -5.0000     5.6297
 -10.0000     5.6080
 -14.0000     5.5790
 -17.0000     5.5573
 -20.0000     5.5393
 -25.0000     5.5127
 -30.0000     5.4960
 -37.0000     5.4783
 -45.0000     5.4553
 -60.0000     5.4293
 -80.0000     5.4067
-100.0000     5.2607
-120.0000     4.8193
-150.0000     4.5020
-175.0000     4.2997
-200.0000     4.1793
-300.0000     3.9823
2011/05/16 12:00:00  18 2
  -0.0000     6.5190
  -5.0000     6.5019
 -10.0000     6.4810
 -14.0000     6.4692
 -17.0000     6.4603
 -20.0000     6.4545
 -25.0000     6.4374
 -30.0000     6.4194
 -37.0000     6.3761
 -45.0000     6.2942
 -60.0000     5.9594
 -80.0000     5.3971
-100.0000     5.1932
-120.0000     4.7903
-150.0000     4.4706
-175.0000     4.2597
-200.0000     4.1390
-300.0000     4.0613
2011/06/16 12:00:00  18 2
  -0.0000     8.3723
  -5.0000     8.3313
 -10.0000     8.2950
 -14.0000     8.6667
 -17.0000     8.3850
 -20.0000     8.1033
 -25.0000     7.9403
 -30.0000     7.7670
 -37.0000     7.3410
 -45.0000     6.7803
 -60.0000     5.8353
 -80.0000     5.1500
-100.0000     4.9740
-120.0000     4.8233
-150.0000     4.4497
-175.0000     4.2420
-200.0000     4.1377
-300.0000     4.0377
2011/07/16 12:00:00  18 2
  -0.0000    10.2819
  -5.0000    10.2623
 -10.0000    10.2110
 -14.0000    10.1826
 -17.0000    10.1569
 -20.0000    10.1313
 -25.0000    10.0600
 -30.0000     9.7397
 -37.0000     8.3235
 -45.0000     7.0055
 -60.0000     5.8774
 -80.0000     4.9306
-100.0000     4.7319
-120.0000     4.7068
-150.0000     4.4474
-175.0000     4.2087
-200.0000     4.0861
-300.0000     3.9932
2011/08/16 12:00:00  18 2
  -0.0000    12.8155
  -5.0000    12.7871
 -10.0000    12.7374
 -14.0000    12.6361
 -17.0000    12.4295
 -20.0000    12.2229
 -25.0000    11.8581
 -30.0000    11.1319
 -37.0000     9.0310
 -45.0000     7.2058
 -60.0000     5.9339
 -80.0000     4.7803
-100.0000     4.4645
-120.0000     4.4761
-150.0000     4.4342
-175.0000     4.2323
-200.0000     4.1035
-300.0000     4.0006
2011/09/16 12:00:00  18 2
  -0.0000    12.8343
  -5.0000    12.8290
 -10.0000    12.8257
 -14.0000    12.8230
 -17.0000    12.8193
 -20.0000    12.8157
 -25.0000    12.7813
 -30.0000    12.5743
 -37.0000    11.0323
 -45.0000     7.8250
 -60.0000     6.0597
 -80.0000     4.9460
-100.0000     4.5423
-120.0000     4.3763
-150.0000     4.4170
-175.0000     4.2423
-200.0000     4.0987
-300.0000     4.0023
2011/10/16 12:00:00  18 2
  -0.0000    10.8026
  -5.0000    10.8029
 -10.0000    10.8039
 -14.0000    10.8039
 -17.0000    10.8040
 -20.0000    10.8042
 -25.0000    10.8029
 -30.0000    10.8032
 -37.0000    10.7900
 -45.0000    10.0239
 -60.0000     6.3165
 -80.0000     5.1558
-100.0000     4.6787
-120.0000     4.3881
-150.0000     4.4000
-175.0000     4.2626
-200.0000     4.0958
-300.0000     3.9632
2011/11/16 12:00:00  18 2
  -0.0000     8.2820
  -5.0000     8.2860
 -10.0000     8.6023
 -14.0000     8.2883
 -17.0000     8.2888
 -20.0000     8.2893
 -25.0000     8.2887
 -30.0000     8.2893
 -37.0000     8.2893
 -45.0000     8.2883
 -60.0000     8.1420
 -80.0000     6.2077
-100.0000     4.9267
-120.0000     4.4997
-150.0000     4.5007
-175.0000     4.3850
-200.0000     4.2060
-300.0000     3.9983
2011/12/16 12:00:00  18 2
  -0.0000     7.2348
  -5.0000     7.2365
 -10.0000     7.3381
 -14.0000     7.4194
 -17.0000     7.3292
 -20.0000     7.2390
 -25.0000     7.2387
 -30.0000     7.2397
 -37.0000     7.2400
 -45.0000     7.2416
 -60.0000     7.2442
 -80.0000     7.2319
-100.0000     5.7516
-120.0000     4.8010
-150.0000     4.7800
-175.0000     4.5168
-200.0000     4.2458
-300.0000     3.9568
2012/01/16 12:00:00  18 2
  -0.0000     6.0174
  -5.0000     6.0194
 -10.0000     6.0202
 -14.0000     6.0208
 -17.0000     6.0213
 -20.0000     6.0218
 -25.0000     6.0226
 -30.0000     6.0226
 -37.0000     6.0229
 -45.0000     6.0239
 -60.0000     6.0268
 -80.0000     6.0232
-100.0000     5.6566
-120.0000     5.2900
-150.0000     4.7365
-175.0000     4.5129
-200.0000     4.2355
-300.0000     3.9300
2012/02/15 12:00:00  18 2
  -0.0000     5.4669
  -5.0000     5.4679
 -10.0000     5.4682
 -14.0000     5.4684
 -17.0000     5.4686
 -20.0000     5.4687
 -25.0000     5.4690
 -30.0000     5.4686
 -37.0000     5.4693
 -45.0000     5.4693
 -60.0000     5.4710
 -80.0000     5.4655
-100.0000     5.4350
-120.0000     5.4045
-150.0000     4.7134
-175.0000     4.4910
-200.0000     4.2307
-300.0000     3.9221
2012/03/16 12:00:00  18 2
  -0.0000     5.0652
  -5.0000     5.0642
 -10.0000     5.0623
 -14.0000     5.0609
 -17.0000     5.0597
 -20.0000     5.0586
 -25.0000     5.0568
 -30.0000     5.0552
 -37.0000     5.0529
 -45.0000     5.0490
 -60.0000     5.0426
 -80.0000     5.0268
-100.0000     5.0155
-120.0000     5.0042
-150.0000     4.5568
-175.0000     4.2574
-200.0000     4.0581
-300.0000     3.8584
2012/04/16 12:00:00  18 2
  -0.0000     5.3573
  -5.0000     5.3377
 -10.0000     5.3214
 -14.0000     5.3084
 -17.0000     5.2987
 -20.0000     5.2889
 -25.0000     5.2727
 -30.0000     5.2543
 -37.0000     5.2263
 -45.0000     5.1937
 -60.0000     5.1193
 -80.0000     4.9870
-100.0000     4.9097
-120.0000     4.8323
-150.0000     4.4667
-175.0000     4.2007
-200.0000     4.0097
-300.0000     3.8187
2012/05/16 12:00:00  18 2
  -0.0000     5.9416
  -5.0000     5.9248
 -10.0000     5.9064
 -14.0000     5.8916
 -17.0000     5.8805
 -20.0000     5.8694
 -25.0000     5.8510
 -30.0000     5.8210
 -37.0000     5.7626
 -45.0000     5.6642
 -60.0000     5.4645
 -80.0000     5.1703
-100.0000     4.9358
-120.0000     4.7013
-150.0000     4.3768
-175.0000     4.1494
-200.0000     4.0035
-300.0000     3.8165
2012/06/16 12:00:00  18 2
  -0.0000     7.5397
  -5.0000     7.4997
 -10.0000     7.5139
 -14.0000     7.4464
 -17.0000     7.3900
 -20.0000     7.3336
 -25.0000     7.1777
 -30.0000     7.0553
 -37.0000     6.8210
 -45.0000     6.3090
 -60.0000     5.4563
 -80.0000     5.0563
-100.0000     4.6775
-120.0000     4.5147
-150.0000     4.2963
-175.0000     4.1283
-200.0000     3.9670
-300.0000     3.8090
2012/07/16 12:00:00  18 2
  -0.0000     9.9306
  -5.0000     9.8984
 -10.0000     9.8142
 -14.0000     9.6771
 -17.0000     9.5177
 -20.0000     9.3584
 -25.0000     8.9513
 -30.0000     8.3103
 -37.0000     7.3177
 -45.0000     6.5484
 -60.0000     5.4523
 -80.0000     4.9016
-100.0000     4.4906
-120.0000     4.4590
-150.0000     4.3184
-175.0000     4.1232
-200.0000     3.9655
-300.0000     3.8271
2012/08/16 12:00:00  18 2
  -0.0000    12.5168
  -5.0000    12.4913
 -10.0000    12.4190
 -14.0000    12.2068
 -17.0000    11.9018
 -20.0000    11.5968
 -25.0000    10.9294
 -30.0000     9.7910
 -37.0000     8.0681
 -45.0000     6.8674
 -60.0000     5.5594
 -80.0000     4.7026
-100.0000     4.2052
-120.0000     4.2119
-150.0000     4.2939
-175.0000     4.0932
-200.0000     3.9487
